,content
10,　　从长远来看，当前我国新能源汽车市场还处于“政策驱动”的阶段，伴随着政府补贴政策进入退坡通道，行业或将进入发展的调整期，这将倒逼新能源汽车企业强化对核心技术的突破创新，推动车企通过提高自身综合实力来降本增效，大力提升新能源汽车的性价比，在退坡的周期内逐渐走上依托市场自行发展的道路。
11,　　车辆购置税由5%调至7.5%
12,　　政策：2016年12月15日，财政部与国家税务总局联合对外正式公布1.6L以下乘用车购置税优惠政策。自2017年1月1日起至12月31日止，对购置1.6升及以下排量的乘用车减按7.5%的税率征收车辆购置税。自2018年1月1日起，恢复按10%的法定税率征收车辆购置税。本通知所称乘用车，是指在设计和技术特性上主要用于载运乘客及其随身行李和(或)临时物品、含驾驶员座位在内最多不超过9个座位的汽车。具体包括国产轿车、国产专用乘用车、其他国产乘用车、进口乘用车。据悉，此前小排量乘用车购置税征收为5%，该政策从2015年10月1日实施。
13,　　影响：购置税减免给出的优惠程度由原来的5折变成了7.5折，减免程度有所降低。例如，1月1日后，新的购置税征收政策实施后，以购买10万元1.6L以下排量乘用车为例，元旦前购车需缴纳4273元购置税，过了元旦就要缴纳6410元购置税。
14,　　有分析认为，因为小排量车整体售价较低，车辆购置税将由5%调至7.5%的增幅影响有限，加之此前已经实施一年的购置税减半优惠政策的强力导向作用，车市既有的火爆态势已经形成，此次汽车购置税优惠的“退坡”对车市的刺激作用或将减弱，但也有助于车市实现“软着陆”，总体来看不会对车市形成较大震荡。
15,　　“超豪华小汽车”加征10%消费税
16,　　政策：2016年11月30日，财政部、国家税务总局联合发布通知，2016年12月1日起，对零售价格130万元(不含增值税)及以上的乘用车和中轻型商用客车，在零售环节加征消费税，税率为10%。
17,　　自1994年消费税实施之日起便包含了汽车类税目，目前现行的小汽车税目分为乘用车和中轻型商用客车两类。乘用车排量越大，征收消费税的税率越高，税率范围在1%~40%之间，排量在4.0L以上的乘用车将适用最高40%消费税税率，中轻型商用客车则适用5%的消费税率。
18,　　影响：加征10%的消费税无疑意味着豪华品牌购车成本的增加。假设购买一台排量为4.1L、零售价为200万元的豪车，2016年11月30日前需要缴纳200万元/1.17×40%=68万元的消费税。2016年12月1日就需要缴纳200万元/1.17× 40%+200万元/1.17×10%=85万元消费+豪华税，等于购车费上涨了17万元。
19,　　总体来说，130万元的超豪华进口车在进口车销量中的占比很低，10%增值税的出台不会对整体市场造成太激烈的影响，但对于保护本土企业、推动自主品牌发展将起到一定的积极作用。这也从某种程度上体现出，未来消费税的主要征收产品对象必将向高污染、高消费和高耗能等领域继续推进。
20,　　国Ⅴ排放标准全面实施
21,　　政策：2016年12月26日，发改委、公安部等八部门联合发出通知，2017年1月1日起，全国全面供应符合第五阶段国家标准的车用汽柴油，同时停止国内销售低于国Ⅴ标准车用汽柴油。公告要求，成品油生产、销售企业按照现行国家标准进一步加强油品质量管理和控制，保障清洁油品市场供应；加油站(点)应按照相关法规和标准要求，明确标注所售汽油、柴油产品名称、牌号和等级(如：92号汽油(V)，0号车用柴油(V)等)，以便于消费者选择、政府监管和社会监督。
22,　　早在2016年4月1日，北京、天津、上海、河北省、山东省等11个地区就已开始实施国V排放标准，并已经停止低于国Ⅴ标准车用汽柴油。
23,　　新华社南宁1月1日电（记者赵刚）记者近日从广西壮族自治区政府获悉，“十三五”期间广西计划新增6.68万辆电动汽车，在南宁、柳州、桂林等城市，公共充电桩与电动汽车比例不低于1：12。
24,　　“新能源汽车产业发展是新能源汽车推广应用的重要支撑，目前广西已具备一定的新能源汽车生产能力，新能源动力系统、动力电池、电机和电控等配套生产也逐步完善。”自治区工信委相关工作人员表示。
25,　　2015年广西共新增推广节能与新能源汽车1336辆。“十三五”期间广西电动汽车计划新增6.68万辆，其中电动公交车3100辆，电动出租车310辆，电动环卫专用车120辆，电动物流行业专用车4300辆，电动私人乘用车5.9万辆。
26,　　推广使用新能源汽车，首先得解决电动汽车的充电问题。“十三五”期间，广西将优先建设公交车、出租车及环卫与物流等公共服务领域充电基础设施，结合居民区与单位停车位配建充电桩，合理布局社会停车场所公共充电基础设施。按照适度超前原则，结合骨干高速公路网，建设城际快充网络，满足城际出行需要。
27,　　按照规划，南宁、柳州、桂林等主要城市的公共充电桩与电动汽车比例不低于1：12，城市核心区公共充电服务半径小于2公里。初步规划到2020年，广西建设充电站303座，充电桩7.6万个，折算后共计可服务标准车辆10.4647万辆。
28,　　影响：国Ⅴ排放标准全面实施后，所有制造、进口、销售和注册登记的轻型汽油车、重型柴油车(客车和公交、环卫、邮政用途)，须符合国V标准要求；与此同时，车用燃油也将进行油品升级，93#、97#汽油将会被92#、95#汽油全面替代。
29,　　升级后，油品使用性能改善，国五汽油的硫含量、锰含量、烯烃含量相应降低，油品使用性能改善，机动车各项排放指标也会有不同程度的改善。据官方统计，油品升级后，目前在用车的总体排放污染物可减少10%~15%，而新车的氮氧化物排放量则可减少25%左右。国家标准委测算，标准实施后，预计在用车每年可减排氮氧化物约30万吨，新车5年累计可减排氮氧化物约9万吨。
30,　　车内空气质量指南变强制性标准
31,　　政策：2016年初，由环保部和国家质检总局联合制定的强制性国家标准《乘用车内空气质量评价指南》征求意见稿正式发布。新标准进一步收紧了汽车内部空气中有害物质的限值，车内空气中的苯、甲苯、二甲苯和乙苯等有害物质都有了更为严苛的限量值，并给出了汽车厂家强制执行的时间表：2017年1月1日起，所有新定型销售车辆必须满足本标准要求；此前已经定型的车辆，自2018年7月1日起实施强制标准要求。
32,　　据了解，该标准是在2011年发布的《乘用车内空气质量评价指南》基础上重新修订的，重新明确了乘用车内8种挥发性污染物的浓度限值，特别针对苯、甲苯等致癌物质提出了更严格的要求。
33,　　影响：根据国家质检总局此前披露的汽车产品缺陷信息的投诉情况信息显示，当前，除变速器、安全气囊、轮胎等质量问题之外，车内异味已经成为车主投诉最为集中的问题之一。但由于缺少相关管控标准、法律依据缺失，这直接导致了车内空气质量问题日益加剧。
34,　　从推荐性指南修订为强制性国家标准，被视为此次新标准意见稿的最大亮点。它不仅对车内空气中的苯、甲苯、二甲苯和乙苯等有害物质有了更为严苛限量值，并给出了汽车厂家强制执行的时间表，这将要求生产企业不断改进汽车内饰结构设计，使用更多的新技术、新材料、新工艺，更好提升和改善车内控制质量。
35,　　北京市实施“京六”排放标准
36,　　政策：2016年10月31日，北京市环保局发布车用燃油“京六”排放标准，将于2017年1月起施行。其中，“京六”汽油标准立足于降低“挥发性有机物”排放，减少PM2.5和臭氧的生成；“京六”柴油标准则加严“多环芳烃”和“密度”范围，加入“生物柴油”和“清净剂”，有效减少颗粒物和氮氧化物的生成。
37,　　此前，北京市曾于2004年、2005年、2008年、2012年在全国率先实施了第二、三、四和五阶段地方油品标准。
38,　　影响：北京在用汽油车使用第六阶段油品后，相关数据显示，车辆颗粒物排放降幅将达10%，非甲烷有机气体、氮氧化物总体将实现8%~12%的排放削减率；在用柴油车使用第六阶段油品后，氮氧化物可下降4.6%、颗粒物可下降9.1%、总碳氢化合物可下降8.3%、一氧化碳可下降2.2%。总体来看，上述各项指标在“京六”油品标准中的加严，有助于降低大气氧化性，继而减少PM2.5和臭氧的生成，也会对其他省份形成示范带动作用。记者 王群
39,　　在经历了持续爆出的“骗补”风波之后，中国的新能源汽车依然保持了高速的增长。根据工信部公布的数据，2016年1月~11月，我国新能源汽车销量达到40.2万辆，同比增长60.4%，位列全球第一。工信部相关负责人预计，2016年我国新能源汽车全年的销量或将突破50万辆。
40,　　“骗补”难阻新能源汽车爆发
41,　　在产销数量大幅增加的背后，新能源汽车的发展也引来了各方的青睐。
42,　　实际上，近年来，我国新能源汽车始终保持爆发式增长态势，但令人意想不到的是，一些新能源汽车厂家骗取财政补贴的行为被曝光，让这一行业的发展前景蒙上阴影。
43,　　不过，财政部、工信部等相关部委对此果断采取措施，对于企业的骗补行为采取了彻底调查的措施，及时控制了局面。
44,　　去年的12月20日，工信部对外公布了对苏州金龙等企业的行政处罚决定，对涉及“有牌无车”的4家企业给予“责令停止生产销售问题车型、暂停新能源汽车推荐目录申报资质、责令进行为期6个月整改”等处罚措施。
45,　　据悉，此次对“骗补”企业的处理中，除国家层面依法对涉事企业进行严肃处置外，地方政府根据核查结果随后启动了依法追究有关人员责任的法律程序。例如，江苏省根据财政部检查结果，进一步核查落实相关职能部门及工作人员责任，涉事人员移交检察机关、公安部门和行政监察部门；对相关企业负责人及政府工作人员涉嫌犯罪的，依法追究刑事责任；依法对涉嫌诈骗的苏州吉姆西客车制造有限公司的相关人员执行逮捕。
46,　　“在政府的全面推动下，新能源汽车产业迅速形成市场，并全面带动这一行业的技术进步，个别企业不应损害这一来之不易的成果。”中国汽车工业协会秘书长董扬接受本报记者采访时说。
47,　　不过在董扬看来，此次国家整顿新能源汽车“骗补”，也给行业带来了发展机会。
48,　　“如果说严肃惩处新能源汽车‘骗补’行为是为了剔除我国新能源汽车产业中的‘害群之马’的话，那么专项核查之后的整治工作无疑对规范、促进我国新能源汽车发展起到了积极作用。”
49,　　综合我国2016年新能源汽车发展情况来看，经过本轮整顿，整个行业发展逐步规范，企业更加注重技术创新，市场也保持了平稳增长，我国新能源汽车产业步入了更加理性健康的发展阶段。
50,　　据悉，自开展专项整治工作以来，大部分被处理处罚的企业都成立了专项整改小组，开展全面整改工作。
51,　　2016年11月21日~25日，工信部还委托中国汽车工业协会、中国汽车技术中心等组织专家，对新能源汽车生产企业生产行为进行监督检查，对厦门金龙、厦门金旅、比亚迪、中通客车、安徽安凯、奇瑞汽车等国内知名新能源汽车企业进行了现场检查。专家组采取座谈会、随机抽取样车等方式，对企业的合格证管理、零部件采购、生产检验、财务管理等方面进行了全面核查，重点检查合格证管理是否一车一证，抽查车辆产品与公告参数是否一致。
52,　　整顿让行业发展更加规范
53,　　根据中国汽车工业协会、中国汽车技术研究中心等机构对40余家新能源汽车生产企业的调研发现，企业普遍加大了技术研发、运营管理和质量保障等方面的资金投入，产品升级换代加快，正向研发能力增强，大部分企业建立了新能源汽车产品质量运行监控平台。比如，快充系统充电效率、功率密度、输出电压范围稳步提升，实现了双枪充电和移动支付等功能，成本较2015年下降了30%以上。
54,　　在对新能源汽车进行整顿的同时，工信部、财政部等新能源汽车推广应用主管部门还调整补贴政策，加强监督，进一步完善产业发展政策环境。
55,　　针对专项核查中暴露出的部分车型补贴标准过高、企业过度依赖补贴政策、享受补贴的新能源汽车产品技术性能偏低、部分车辆实际使用率偏低等问题，财政部、工信部等四部委在征求相关企业和第三方机构意见的基础上，提出了调整完善新能源汽车补贴政策的方案：保持2016年~2020年补贴政策总体稳定的前提下，适当调整客车和专用车补贴方法，提高技术门槛，鼓励技术进步，设置中央和地方补贴上限，防止出现地方配套补贴标准过高现象；改进补贴资金拨付方式，从2016年起，新能源汽车购置补贴资金由事前拨付改为事后清算。
56,　　据悉，新修订通过的《新能源汽车生产企业及产品准入管理规定》，也将于近期对外正式发布。新规定从企业设计开发能力、生产制造能力、售后服务能力和产品技术性能、质量保证能力等方面提高了准入门槛，并强化了安全监管要求，可以有效提高产品质量和安全水平。
57,    广州日报讯 （记者邓莉）新车有六年免检福利，一些使用年限较长的老车却没有。很多车主在春节前预约年审才发现，已经预约不到一周内的号。记者近日采访时留意到，一些老车车主有习惯性“拖延症”，年终才想起要年审。虽然广州已经实施网上预约，分流年审车辆，但这种现象反而造成了“预约扎堆”。
58,    节前年审不好约
59,    记者从车管所、汽车4S店、机动车检测站获悉，车主们习惯扎堆每年12月到次年1月份年审车辆，以至于很多老车车主无法预约上合适的日期。对此，交警提示车主，应该在机动车检验有效期满前90天内，向车辆所在地的车管所部门申请检验合格标志。即若车辆年检的时间是6月30日，则应选择在4、5、6月份去办理年检业务。然而很多老车车主抱着侥幸心理，总是拖延到最后期限。车主刘先生表示，按照法规，超过年检期一年以内的车辆，去车管部门办理年检手续时也不会面临处罚。
60,    未及时年审上路将受罚 
61,    交警部门提示，对于春节期间要长途自驾外出的车辆，在机动车检验有效期过期前就应完成车辆年审。根据交通法相关规定，没有年检的车辆不具备上路的资格，如果还继续上路，查获将处以扣3分，罚款200元的处罚。另外，未按时参加年审的车辆造成的一切交通事故，由当事人负全部或主要责任，保险公司将不负任何责任。
62,    老车“暗病”多 需过五关斩六将
63,    预约简单方便，但年审过程却不一定好过。机动车检测站工作人员对记者表示，六年以上的老车有许多“暗病”，预约年审后，车辆能否过关要过五关斩六将，一不小心就耽误事情。记者采访车主时发现，六年以上的老车，在年审时被“卡”的情况较多。汽车4S店协助年审的工作人员告诉记者，为了节省时间和费用，会建议车主在车辆年审前提前一周对车辆做车况检查，该拆的先拆掉，加大一次性通过率。万一当天无法过关，车主就须择日重新排队年审，相当浪费时间。
64,    新便利：支付宝也能预约交年审
65,    支付宝也能预约年审、缴纳交通罚款。记者从广州交警获悉，继推出网上车管所、广州出行易、广州交警微信公众号后，广州交警依托支付宝平台建设“广州交警支付宝服务窗”，可向拥有广东籍驾驶证或广州市籍机动车的市民提供年审预约，车辆驾管业务在线查询、办理、提醒以及机动车交通违法处理等服务。
66,    TIPS
67,    每年节前年检除了“扎堆”外，最常见的是车辆会因各种“小毛病”不能通过。因此检测站人员提醒车主要注意以下事项：
68,    ·车上备齐灭火器、三角警示牌，这是必备检测项目；
69,    ·车灯小心老化，光过暗或者过强都会可能被视为不合格；
70,    ·制动性能有没有毛病，检测站会进行电脑和人工测试。
71,    ·勿贴太深的太阳膜，过深的肯定不能过关；
72,    ·多余的改装要拆除，年检时，车身外观必须和行驶证一致。
73,    ·违章要及时处理，否则不予参加年审。
74,    日前，笔者来到北京侨福芳草地大厦路边。这里停放着8辆白色的smart共享汽车，旁边还有一台钥匙存储柜。
75,    按照柜子上的提示，扫码关注了“car2share”微信号。注册、上传驾驶证，通过审核后，便具有了用车资格。用手机支付300元押金，将生成的二维码进行扫描，钥匙柜便弹出车钥匙，车子就能上路了。收费按时间、里程计算，每分钟0.33元，每公里1.2元。结算成功后，将手机对准扫码窗口，再将车钥匙放回弹出的钥匙柜，就完成了租车。
76,    相关负责人表示，car2share随心开是戴姆勒公司为中国市场量身打造的出行服务，目前处于探索阶段。
77,    在注册的过程中，记者发现用户需要填写所在企业的名称和公司邮箱号。该公司表示，其服务主要针对都市白领，因此网点主要分布在知名企业、高科技园区和商业中心附近。如果是以企业信息注册，10多分钟就能审核通过，如果以个人名义申请，审核一般需要1天左右。
78,    遇到事故，如何处理？该公司称，每一台车都购买了保险，包括车辆损失险、第三者责任险、车上人员责任险、全车盗抢险、自燃损失险、涉水险等。如遇事故，会有团队来协助处理。用户注册时，双方必须达成租车协议，才能完成注册。若出现违章停车等主观因素导致的过失，用户需自行承担罚款。
79,    在出行市场中，分时租赁被称为单车、出租车、网约车和传统租车之外的“第五极”，市场潜力被看好。在北京，除了car2share之外，还有TOGO、PP租车、一度用车等多家公司正在探索共享汽车市场。笔者在体验中发现，在公交发达、网约车充足的北京，燃油共享汽车在价格上并无明显优势。一线城市的燃油共享汽车，如何吸引成规模的粉丝群？其答案仍有待观察。
80,
81,□　本报记者　余瀛波
82,"　　为有效治理大气污染等生态环境,全国质检系统将更加精准地服务生态环境治理。《法制日报》记者从今天召开的全国质量监督检验检疫工作会议上获悉,鉴于燃煤排放和机动车排放是影响环境的两个重要因素,2017年,我国将全面实施成品油国Ⅴ标准,建立机动车环保缺陷召回制度。京津冀及周边地区要先行一步,抓好成品油专项执法打假,率先解决燃煤工业锅炉节能环保问题。"
83,"　　“近年来,环境污染问题备受关注,中央把生态文明建设摆在突出位置来抓。”质检总局局长支树平在会上强调,“我们要发挥技术优势,推进实施能效领跑者制度,开展绿色低碳计量试点、重点领域能源资源计量示范和‘标准化+生态文明’活动,深入实施百项能效标准推进工程和绿色制造标准化提升工程,收紧节能节水、环保等标准,加强绿色产品、能源管理体系认证和温室气体排放核查,强化对生态环保的硬约束。”"
84,　　跨境电商进口消费品40%不合格
85,"　　2016年,我国质量安全监管水平获得显著提升。据支树平介绍,去年我国共查处各类质量违法案件3.6万起,召回缺陷消费品618.4万件、汽车1133.5万辆,同比分别增长8.2倍和103%。"
86,"　　支树平透露,2016年,我国进出口商品检验监管体系更加完善,检出进口不合格商品9.8万批,目录外进出口商品监督抽查不合格率27.6%,跨境电商进口消费品抽查不合格率40.9%。"
87,"　　与此同时,进出口食品安全治理能力不断加强,初步建立进口食品安全治理体系,实施进口食品安全放心工程,实现进口食品监督抽检种类全覆盖,检出不合格进口食品1万余批。"
88,"　　此外,去年我国全面启动特种设备安全监管改革,开展特种设备安全攻坚战,整治隐患电梯3.97万台,104个城市建立电梯应急处置平台,新检验油气输送管道2.8万公里,电梯事故数和死亡人数同比分别下降17.2%和10.9%,特种设备事故和相关事故数同比下降9.3%,万台设备死亡率同比下降8.3%。"
89,　　10类企业标准排行榜将发布
90,"　　2017年是供给侧结构性改革的深化之年,质检总局将有哪些新举措?据支树平透露,当前,质检总局正组织研究制定质量提升行动计划,会同有关部门,动员社会各方力量,运用全部质检手段,全力开展质量提升行动。"
91,"　　其中包括,建立并推行企业标准领跑者制度。在全面推开企业标准自我声明公开和监督制度的基础上,发布10类企业标准排行榜,通过市场化机制,甄别先进标准,培育企业标准领跑者。探索建立消费品企业标准领跑者监督助力制度,建立标准创新型企业激励机制,促进企业主动实施高标准。"
92,"　　开展“标准化+”行动。提高消费品质量安全标准,开展消费品标准化示范工作。加强生产性服务业标准化工作,建立与国际接轨的服务业标准体系。特别要全力推进内外销产品“同线同标同质”工程,将实施范围从出口食品农产品扩大到消费品,加快转化先进适用的国际标准和合格评定程序,逐步消除国内市场与国际市场的产品“质量高差”。"
93,"　　支树平指出,2017年,要组织质量攻关整治。对质量问题较多的重点区域,实施区域集中整治,挂牌督办,落实属地责任。对区域性质量问题得不到有效解决的,要敢于“亮牌吹哨”,约谈政府负责人,严重的在媒体曝光,加强舆论监督,倒逼整改落实。"
94,　　今年起草质量促进法草案
95,"　　支树平指出,2017年,质检系统要围绕推进政府职能转变,下最大气力加快质检关键性改革。"
96,"　　他要求,今年,列入清单的24项行政执法事项要在全系统全面推开,全部实现随机抽查。要优化执法检查方式,探索大数据精准监管,推进“菜单式”执法创新,打造“双随机”升级版。要把风险管理、信用监管、日常监管结合起来,建立安全风险评估机制,及时发布风险预警,加快推进质量信用分级分类管理,完善差别化管理与动态升降级措施,建立监管质量安全信用“黑名单”,定期集中公布质量安全违法典型案件,提高事中事后监管有效性。"
97,"　　在质检收费改革方面,要配合相关部门尽早发布质检系统行政事业性收费监管指南,严格落实收费公示要求和明码标价制度,全面清理不合理收费,加大违规收费联合督查力度,切实规范系统内涉企收费行为。"
98,    广州日报讯 （记者段郴群）从2017年1月1日起，新能源汽车补贴额度比2016年降低20%，地方财政补贴不得超过中央单车补贴额的50%。
99,    在万帮新能源研究院日前举办的“电动汽车布局2017”研讨会上，中信证券汽车首席分析师许英博表示，新的政策与以往相比，提高了补贴门槛，各项标准也显著提升。有媒体粗略统计，一辆原价25万元的纯电动汽车，2016年国家补贴5.5万元、地方政府补贴5.5万元，共计补贴11万元，补贴后实际价格为14万元。而按照2017年1月日实行的补贴新政，国家补贴4.4万元，地方最高补贴2.2万元，共计6.6万元，2017年的补贴共减少了4.4万元，这对消费者来说，纯电动车在补贴后价格上出现上涨。
100,    有媒体昨日称，新的补贴标准实施后，个别汽车厂商的新能源汽车开始涨价。其中某品牌新能源汽车之前补贴后的售价为6.28万元，现在涨价3.6万元;而另一家知名车企三款新能源汽车的续航里程都在300公里以上，均涨价4.4万元。
101,    但有厂商表示，在补贴标准下来之后，厂商将先自己出钱，暂时弥补补贴缺口。据记者了解，2017年春节前，北汽全系车型不会涨价，在部分地区的车型，在春节前购车的用户，由北汽新能源出资承担补贴政策改变导致的4.4万元差价，消费者仍然可以以补贴政策改变前的终端零售报价（不含促销）买到北汽新能源的产品。同时，吉利也表示在1月份购买新能源车保持原价销售。
102,    万帮新能源董事长、星星充电董事长邵丹薇表示，调高售价的车型大部分是即将退市的车型。2014年底也曾有过一次补贴力度减小，在2015年第1季度，众多车企纷纷调高了售价，但春节一过，各车企又以促销或上新车型的形式下调了价格。
103,　　为确保国家政策落到实处，严防“骗补”事件再次发生，新能源汽车补贴政策实时调整机制、新能源汽车运行实时监测机制、事中事后监管制度等也在建立和完善。
104,　　爆发的风口或即将到来
105,　　“对这几家骗补企业的处罚，实际上起到了警示作用，让那些违法乱纪的企业付出代价，让那些没有违法乱纪的企业不敢违法，保证我国新能源汽车产业的健康发展。”中国汽车工程协会秘书长张进华告诉本报记者。
106,　　值得一提的是，近日格力电器总裁董明珠已经参与收购了国内一家动力电池企业，准备进入新能源汽车领域；国内互联网企业乐视掌门人贾跃亭也已经对外公布，其量产电动汽车将亮相美国。
107,　　张进华认为，目前国内在新能源汽车技术方面已经走在了世界前列，无论是零部件还是整车，都出现了一批比较优秀的企业，比如比亚迪、江淮、北汽等，这些自主品牌的新能源汽车在国际上已经占据了比较有利的位置，这将促进我国新能源汽车进一步的发展。
108,　　实际上，近些年来，我国新能源汽车的发展也受到颇多质疑。国家虽然多次出台政策予以鼓励，但由于电池等技术的限制，直到2015年整个行业才呈现快速发展的局面，却又遭遇“骗补”风波。如今，在政府的大力支持下，中国新能源汽车已经逐渐迈向良性发展的道路。
109,　　在后“骗补”时代，中国新能源汽车的风口也许真的不远了。记者 孙喜保
110,　　火车票抢不上，飞机票价格贵，大巴车体验差，租车返乡过年，成为不少人的选择。1月5日，国内最大汽车租赁企业神州优车副总裁臧中堂作客103.9一路畅通栏目时透露，春节是租车旺季，北上广、三亚、海口等城市最为火爆，500公里内租车返乡过年最受欢迎，85后、90后人群租车增长率明显。
111,"　　,关键词：春节预定"
112,　　臧中堂提到，春节是全年租车最旺季，每年农历腊月20左右订车开始紧张，腊月27、28，车辆基本一租而空。北京、上海、广州、海口、三亚属于租车量前五的城市，今年，旅游城市租车火爆的特点尤为显著，比如昆明、大理、重庆、成都、三亚、海口、厦门等城市。
113,　　神州租车大数据显示，500公里以内、五六小时车程的范围是最适合租车，85后、90后群体用车增长趋势明显。三四线城市租车需求越来越多，臧中堂提到，这主要得益于高铁布线的密布，另外飞机也越来越多直达三四线城市，比如云南的大理、腾冲等地。
114,　　从1月5日到18日，神州租车推出特价风暴，13款车型齐降价，最低69元就能租一天。还车后还将有机会抽取iPhone7。
115,"　　,关键词：北京特点"
116,　　作为首都，北京租车有其独有特点。首先，女性用户比其他地区多，这与北京规范的交通出行环境有关，女性社交活动多也是原因之一。其次，海淀用户较其他区域多，这与海淀高校较多有关，租车很大部分客户群体为大学老师和学生。第三，从旅游方面讲，北京用户租车前往方圆两百公里内的京郊游多。
117,　　神州大数据显示，近几年，女性司机在整个租车用户里增长快于男性，43%用户为女性。另外，由于家庭规模的改变，七座商务车逐渐兴起，尤其是节假日、春节时，GL8这款车凭借其差大空间，往往被一租而空。
118,"　　,关键词：租车+专车"
119,　　对于国内租车市场未来发展，臧中堂提到，目前，中国租车市场的渗透率仅为0.4%，而日本、美国、巴西等地方市场渗透率达到1.5%以上，这说明中国租车业发展空间还非常巨大。近几年，尤其是高铁的密布、飞机线路的拓展，再加上公车改革的推进，都大大提升了租车业的市场空间。
120,　　随着汽车共享及环保出行理念的普及，越来越多的人用租车+专车的方式替代购车。臧中堂表示，租车较购车有很多优势，购车、养车以及停车费等用车成本高，折旧成本也很高，租车还可以选择不同车型，不必在车辆维修、保养上花费心思。另外，目前，日常上班或者商务出行，打车、坐专车都非常方便。所以，神州建成了租车+专车的全国最大的B2C资源共享池，满足用户租车、打车的需求。未来，神州优车将重塑人车生态圈，用户所有的汽车生活可以在神州优车整个平台上完成，租车、坐专车、买车、汽车金融，甚至维修、保养、保险未来都会在平台上一一完成。
121,"　　,春节租车全年最火爆 订车需提前 "
122,"　　,主持人李莉,：今年,由于购买火车票的时间变化，被称为史上最难抢票年。火车票一票难求，机票价格飞涨，大巴人多又体验不理想，不少人选择租个车回家。今天我们请来了一位专家好好和您聊聊租车这件事，接下来介绍的是神州优车副总裁臧中堂先生。"
123,"　　,杨洋,：说到神州优车，其实旗下就有神州租车、神州专车、神州买买车，还有神州优车闪贷这四大板块，都是神州优车，请您介绍一下。"
124,"　　,臧中堂,：大家比较熟悉神州租车，在全国将近300个城市都有服务网点。直营网点支持异地还车，也可以免费上门送取车。这个业务也是在香港上市的上市公司。"
125,　　第二块业务是神州专车，走B2C的差异化模式，不同于私家车接入的C2C平台。我们是专业司机、专业车辆，追求安全、舒适和标准化的服务。
126,　　本报讯(记者 刘珜)近日，网络传言北京摇号政策松动的说法，市交通委新闻发言人容军表示，2017年小客车增量指标仍然控制在15万辆，其中普通指标9万，新能源指标6万。今年还会研究2018年至2020年的调控政策。北京2020年机动车保有量将控制在630万辆以内。
127,　　容军表示，指标调控需要研究汽车能源结构、治理污染、配置方法和额度等问题。但总体上确保总量不超过630万辆。但需要注意的是，并不是每年的指标量全都转化为实际的车辆了。比如2011年、2012年左右，每年均有几千个普通车指标被弃，近两年这种情况几乎没有了。新能源指标方面，最早也有大比例的弃购，但最近新能源车指标转化为车的数量明显增加。这些因素都需要以道路承载能力为约束条件来进行总体研究。
128,　　同时，针对多年来市民希望的以家庭为单位摇号的建议，容军表示，以家庭为单位摇号是一个很好的方向，但在实施过程中是非常难的。
129,"　　,中新网,1月10日电9日，长安CX70T在重庆悦来国际会议中心豪擎上市。此次，长安CX70T共发布了2款自动挡车型和2款手动挡车型，售价区间为8.99万元-10.99万元。"
