,content
24,    近日有军事专家在接受央视采访时表示，如果我国建造第二艘国产航母，最好是采用电磁弹射起飞的方式。由于我国第一艘国产航母采用的是“滑跃起飞”，引发了网友的纷纷热议。弹射器为何引起专家和军迷关注？大洋之上的战机在航母上起飞究竟需要克服哪些困难？
25,    舰载机起落
26,    高科技下的两难问题
27,    自从人类发明航空母舰，这种“大海上的移动机场”就成为了战略级的强力武器。然而，要在茫茫大海上，让战斗机顺利起落，相对陆地上要面临更大的挑战。除了风浪导致的飞机驾驶难度和航母起伏颠簸外，航母甲板本身的尺寸限制也是一个让人头疼的问题。
28,    众所周知，固定翼飞机是依靠高速行驶，产生空气升力抵消重力，才能翱翔长空。随着军事科技的进步，喷气式战斗机加载的各式先进装备越来越多，重量也就节节攀升。要让这么个大块头飞上天，除了优化气动力布局外，一个最根本的手段就是增加速度。现在问题来了。更快的飞行速度，意味着飞机需要在地面行驶更多的时间、更长的距离。在地面上还好说，无非把机场跑道延长，五百米不够就一千米。然而在海上，航母的甲板不能无限延长，甲板太长，既增加舰体负担，又容易损坏，目标还大。
29,    二战时期日本的“零式”战斗机，其全重不到2.7吨，速度不过500多公里，在顶风起飞时只需要70米的跑道距离；但美军的四代机F-18，要求的最大起飞重量已为20多吨，最高时速达到1800公里。美国现役航母的主力“尼米兹”级航母，与二战日本航母“赤城号”的甲板长度差不多，都是200多米。这就意味着，海军航空兵们必须用差不多长度的甲板，去对付快得多的速度。怎样让如此快的飞机在如此短的甲板上顺利起飞、降落，成为无数军方科学家绞尽脑汁的问题。
30,    第1类
31,    舰载机垂直起降：只能算权宜之计
32,    解决航母起飞、降落问题的一种终极思路，就是把舰载机改为“垂直起落”战斗机，使得它们只需要很短的甲板距离就可以起飞、降落。最典型的当然是直升机。直升机别说航母甲板，就算是巡洋舰、驱逐舰的甲板也能轻而易举地起降。然而直升机本身的特性，决定其速度、航程和战斗力都远不如固定翼飞机。
33,    更先进的方案便是在固定翼飞机上加装垂直起降发动机。起降时，通过垂直发动机产生直接向下的推力。这样，无须以太高的水平速度产生升力，就能实现短距离的起飞降落。垂直起降战斗机的技术从20世纪50年即开始研发，目前各大强国都有涉及。
34,    例如，60年代法国的幻影III-V型战机，在具备垂直起降的同时，其最高速度突破了2倍音速，这至今仍然是垂直起降飞机的纪录；英国的“鹞式”和“海鹞式”战斗机，参加过著名的马岛战争；美国的AV-8参与过海湾战争和科索沃战争，而新近服役的F-35更是唯一一款具备垂直起降功能的五代机。
35,    不过，垂直起降战斗机尽管对甲板要求大幅度缩小，却也存在明显的弊端。首先是太费油。垂直起降这种模式，生生用向下的推进力来抵消重力，油耗极高，多达三分之一的油料都要用在垂直起飞，这就大大减小了飞机的航程和作战半径。
36,    其次，垂直起降能够承受的重量也有限，为了垂直起降，必须大幅削减战斗机的载弹量，从而影响战斗力。还有，垂直起降的操作难度很大，容易发生事故。英国在马岛战争时有5架垂直起降战斗机就是因为操作失误坠毁的。而发动机在全负荷运转的时候，也可能因为细小颗粒被吸入发动机而发生事故，维护压力比普通固定翼飞机要大。因此，垂直起降是以削弱战机实力来降低甲板要求，只能算权宜之计。
37,    第2类
38,    蒸汽弹射器：半个世纪的光荣
39,    为了让舰载机在短短一百多米里达到足够升力，最基本的思路，就是通过航母自带的装置，在飞机发动机加速的同时，为飞机提供一个额外的推力。这就是所谓的航母弹射器。目前世界范围内使用较为成熟的弹射器是蒸汽弹射器。它也是目前西方航空母舰的主流弹射设备。
40,    最早的蒸汽弹射，是英国海军航空兵后备队司令米切尔在1951年率先研制成功的，装备在“莫仙座”号航母上。此后，美国海军购买了这项专利，成为美、英、法等国航母的标准配置。俄罗斯航母研发较为滞后，但也在1982年开始蒸汽弹射器的研究。计划在90年代服役的“乌里扬诺夫斯克级”核动力航母就安装有蒸汽弹射器，可惜这一款航母随着苏联的解体而夭折。
41,    蒸汽弹射的基本原理和弹弓差不多。在战机起飞前，用位持器钢圈“拽住”战机的尾部，前轮附近的牵引杆则用“滑梭”钩住。战机前面的甲板下则有两个平行圆筒，每个至少长45米，筒中的活塞连接滑梭。蒸汽则由母舰上的锅炉输出，在增压后输入滑梭。
42,    舰载机起飞时，开足马力，同时蒸汽弹射器启动。发动机加上蒸汽压力，形成可怕的推力。与此同时，飞机尾部又被钢圈拽住。这样相持片刻，当巨大的推力终于拉断钢圈的时候，就好像玩弹弓的孩子松开皮筋，飞机以极大的加速度往前猛冲。短短45米内，时速能达到250公里，从而弹射起飞。
43,    以上说的是前轮弹射器。目前全世界只有美国具备生产这种弹射器的成熟技术。另一种是拖索式弹射，就是用钢质拖索牵引飞机加速起飞，这种弹射方式比较老，性能也不好，只有巴西的“圣保罗”号航空母舰使用。
44,    蒸汽弹射器至今使用已经超过半个世纪，也存在缺陷。首先是蒸汽弹射器的维护工作量很大，据报道单纯的维护、运转蒸汽弹射器的费用，就占到了整个航母全部设备维护资金的80%！美军一艘核动力航母上，需要整整500人来专门维护运转蒸汽弹射器。
45,    蒸汽弹射器的技术要求很高。核心是高温高压材料，各个部分都要频繁承受蒸汽的冲击，如何保证各系统在这样严酷的环境下稳定工作是最大的难题。而且，蒸汽弹射机要消耗大量的淡水。美军航母弹射一架飞机，要消耗一吨淡水。此外，现在美军的蒸汽弹射器的长度和气缸容积几乎达到极限，很难再提高能量，这就无法满足未来更重的舰载机。
46,    我国辽宁舰的甲板上，也能看到试验性的弹射装置。不过，由于最初辽宁舰的前身瓦良格号并未预留弹射器的空间，故而要在辽宁舰上装弹射器，改动工程过大，甚至影响整个舰体的稳定性。因此，目前辽宁舰还是单纯的滑跃起飞模式。
47,    第3类
48,    滑跃起飞：大众化方案
49,    对于普通舰载机，更普遍的解决方案，是滑跃式起飞。这种起飞采用的甲板称为“滑跃式甲板”。相比二战中的平直甲板，“滑跃式甲板”最大的特征是甲板前部有一个向上的坡度，也就是俗称的“翘头”。这样，舰载机在“翘头”上以向上倾斜的角度起飞。
50,    相对过去的平直甲板起飞，滑跃起飞在两方面进行了优化：首先，滑跃式甲板使战机本身有个向上的角度，即机翼与水平面形成的仰角更大。这样实际上可以增大空气阻力产生的升力，使得飞机更容易获得足够的升力腾空；其次，滑跃式甲板使得飞机发动机产生的速度也有一个向上的分量，等于在离舰的一瞬间是被“斜向上抛出”，这也使得离舰后获得更多的加速起飞时间。
51,    制作滑跃式甲板的技术门槛虽然没有那么高。但是，滑跃起飞却对战机提出了更高的要求，需要战机的发动机具有很强的推动力，在短时间、短距离内推动战机达到起飞速度。不过这一点对于现代技术来说较为容易。
52,    滑跃起飞的典型代表，便是前苏联生产的库兹涅佐夫号航空母舰。库兹涅佐夫号航空母舰的“姊妹舰”瓦良格号，也就是我国现役航母“辽宁”舰，也是安装的滑跃式甲板。歼-15在辽宁舰上起飞的矫健身影，想必很多朋友都会印象深刻。滑跃起飞虽然技术难度较低，却也存在瓶颈：在战机滑行距离一定的情况下，由于最终速度有限，单纯依靠增加甲板仰角，对升力提升也有限。当战机重量过大时，凭借现有甲板长度，单靠发动力加速，难以获得足够的升力。因此，目前歼-15在辽宁舰上的起飞，还不能做到全负载，即不能完全满载武器、弹药、油量起飞。这对于歼-15在远洋的实战是一个制约。
53,    第4类
54,    电磁弹射器：未来大趋势
55,    由于蒸汽弹射器存在体积庞大、运行维护成本高、消耗大量蒸汽等缺陷，因此军事领域又盯上了新的弹射器，即电磁弹射器。
56,    所谓电磁弹射器，简单说就是利用电磁感应力进行弹射的装置。它分为两种：电磁线圈弹射器及电磁轨道弹射器，分别采用交流直线电机和直流直线电机。
57,    事实上电磁弹射的研究非常早，早在20世纪40年代，美国海军即进行了相关研究。然而当时技术不成熟，研发成本高，故而很快就被放弃了。到70年代末，随着舰载机的重量和速度不断增加，蒸汽弹射器逐渐不能满足需求，美军又从1978年重新开始对电磁弹射器进行开发。2013年，新一代核动力航母“福特”号服役，上面就采用了电磁弹射器。
58,    电磁弹射器包括强迫储能装置、大功率电力控制设备、中央微机工控控制及直线感应电机等。其中最核心的是强迫储能装置，可将发电机在一个周期（约45秒）内发出的能量积蓄起来用于一次猛烈的弹射。据估计，最大的舰载机起飞需要消耗的能量不超过120M焦耳，而功率4M瓦的充电设备则能在这段时间积蓄140M焦耳（存在消耗）以上的能量。福特级航母拥有四部电磁弹射系统，同时充电时总功率可达16兆瓦，再加上升降机以及未来的电磁轨道炮、激光，航母总功率可能需要60兆瓦以上。
59,    相比蒸汽弹射器，电磁弹射器有许多优点：首先能简化舰上的维修工作，据估计可以比蒸汽弹射器节省劳动力成本30%以上。其次，电磁弹射器的精度高，对于弹射力量的控制，仅仅需要通过控制电流大小就能做到，这显然比改变蒸汽流的强弱要便捷多了，它使航母能方便弹射从轻型到重型飞机。还有，电磁弹射器的重量和体积大约只有蒸汽弹射器的一半。电磁弹射器与未来海军的“全电力系统”能更好融合，将弹射器的控制对接到全舰的其他动力系统中，便于统一操纵。蒸汽弹射器的极限弹射能量不到100M焦，而电磁弹射器则可以达到122M焦，从而突破了前者的瓶颈。
60,    此外，电磁弹射器能与滑跃式的甲板巧妙融合，这样，既拥有弹射力，又能享受滑跃式起飞的好处。当然，电磁弹射器也有一些缺点。高功率电磁电动机会产生电子干扰，而高速旋转的机械也对材料的刚性提出更高要求。
61,    其他弹射器
62,    五花八门各有利弊
63,　　2017年，中国人民解放军迎来建军90周年。就在新年前夕，央视记者随舰拍摄了中国航母编队首次远海训练，并有多路记者前往空军、火箭军部队探访。许多故事和画面都是首次披露。
64,　　△《新闻直播间》：国防利器①
65,　　首次远海演练 中国航母战力跃升
66,　　说到辽宁舰的威力，歼15舰载机算得上最大的杀手锏。远海训练自然少不了舰载机，起航以来，辽宁舰航母编队从渤海到黄海，从东海到南海，歼15可以说是走一路练一路，开展了多个科目的编队和舰载机舰基战术训练。
67,
68,△歼15舰载机
69,　　当年“航母style”火爆全国，大家都很熟悉。现在辽宁舰官兵对它做了改进，这样的改进可不是为了帅，而是关乎到安全的需要。
70,
71,△“航母style”升级版
72,　　辽宁舰航空部门起飞助理 纪明溪：
73,　　新版的(style)其实我们叫起飞指令，新版的起飞指令我们从安全性和实用性考虑，对它进行合理的调整：从原来的两点支撑姿势，变成现在的三点支撑姿势更加安全和稳固。
74,　　航空保障能力是航母战斗力的保证，这次跨海区训练，不仅进行了辽宁舰航母编队综合战力演练，还对辽宁舰的航空保障能力进行了实战化检验，使得辽宁舰从最初的训练舰一步步成为一艘具备作战能力的舰艇。
75,
76,　　辽宁舰航空部门副航空长 王小伟：
77,　　我们保障舰载机的数量也达到了最初的四倍，再次出动准备能力也提高了三倍多，一天舰载机的出动数量翻了两番。
78,
79,　　中国人的航母梦始于辽宁舰，新的一年辽宁舰仍将承担着大量的试验训练任务，也将为我国后续航母的研发建设提供经验。
80,　　辽宁舰副政委 王泽森：
81,    除了普遍采用的蒸汽弹射器和方兴未艾的电磁弹射器，还有其他各种弹射器的概念。由于种种原因，这些概念并未投入使用。
82,    弹簧复力弹射器：堪称是最“质朴”的弹射器。它直接用一个大号弹簧，在通过电动机压缩后，再猛然释放，把飞机弹出去，使之获得加速。但这种超强弹簧对材质的要求太严苛了，要实现精准度难度也很大。另一个弊端是，弹簧在最初弹出的那一瞬间，冲力最大，对飞机而言相当于静止时受到一个猛烈的加速度，对飞机和飞行员都是巨大的考验。
83,    势能弹射器：势能弹射器类似一个斜坡，先通过升降机等将飞机运至坡顶，然后将飞机从坡顶“推”下来，使得其受到重力和发动机推力的合力，产生更大加速度。这种弹射器技术成分很低，而且弹力释放非常均匀。然而为此必须造一个很大的坡面，在航母甲板上高高凸起，影响风阻、隐形和防卫等各项指标，而且使用效率较低。
84,    燃气弹射器：在结构上与蒸汽弹射器相似，只不过推动活塞的不是水蒸气，而是猛烈燃烧产生的气体。相比蒸汽弹射器，它不需要消耗大量的淡水，然而燃烧却对设备产生了更高的要求，如耐高温、防氧化、坚固程度等。同时，燃烧这种化学反应比水的汽化更加危险，还要消耗价格昂贵的化学燃料，故障率高，污染严重。最初美国海军试图以此作为航母弹射器，但最终还是选择了蒸汽弹射器。
85,    火箭助推弹射器：就是在舰载机发动时，用火箭助推器提供额外推力，飞机起飞后，火箭助推器再脱落。该方案的结构非常简单，然而如何处理助推器却是大难题。如果采用一次性的，价格太贵；如果采用反复使用的，那每次起飞都需要把掉入海中的助推器捞起来。此外，助推器本身喷出的高温射流也会对航母设施和人员造成威胁。
86,    航母拦阻：
87,    生命的羁绊
88,    相对于起飞的种种难题，飞机降落的技术方案要简单一点，就是在航母上设置一些拦阻设备，当高速行驶的飞机即将降落时，通过甲板上的拦阻设备“拖拽”住飞机尾部的钩子，使得其速度迅速降低。当然，拦阻索不能简单只是一根钢筋把飞机拦住就好，这样会直接把高速降落的飞机拽坏。事实上，拦阻索两头连接的是复杂的阻力产生装置，在被飞机“绊住”后逐渐产生阻力，最终把飞机拉住。
89,    美国海军备有4道拦阻索，彼此间隔14米左右，要求飞行员最好在1、2道之间降落。如果4道拦阻索都没能钩住飞机，那么飞机可以就势重新起飞，再来一次。当前，拦阻索的普遍阻拦装置是水蒸气，而在福特级航母上，则靠电磁力进行拦阻。郑文浩  
90,　　新的一年，我们将按照预定的计划，进一步加大训练的难度和强度，积极探索航母作战运用的特点和规律，以战斗力生成的新成果，迎接党的十九大胜利召开。
91,　　记者探营： 一批先进装备列装部队
92,　　△《新闻直播间》：国防利器②
93,　　首次零距离探秘中国空军现役最先进战斗机之一：歼10B
94,
95,　　画面中在空中翱翔的战鹰，就是目前中国空军现役最先进的战斗机之一，歼10B。在新年来临前夕，记者探访了列装有歼10B的北部战区空军航空兵某部，首次零距离探秘歼10B。
96,
97,　　央视记者 宋云屹：
98,　　我在歼10B的驾驶座舱内，最大的一个感受就是机舱内十分简洁，得益于玻璃化座舱的使用，多块显示屏代替常规指针式仪表，使得飞行员操控战机更加便捷人性化。
99,
100,　　歼10B是歼10A的改进型，它的机头取消空速管，机头加长加粗、截面改为椭圆形，以装备先进的相控阵雷达；同时改用可以提高进气效率的“蚌”式进气道，有效提高了战机性能，整体上推动歼10B作战能力提升。
101,
102,　　空军航空兵某团副团长 杨涛：
103,　　空空作战主要提升了雷达还有电抗的性能，最突出的特点就是增加了对地精确打击能力。
104,　　新年伊始，官兵们依旧坚守在战斗岗位，正是有了他们的付出与坚守，才保证了祖国领空的安全。
105,　　探秘“随时能战”的火箭军
106,　　2016年的最后一天，火箭军某导弹旅发射营按照既定训练计划，前往遭受核沾染的发射阵地执行作战发射任务。
107,
108,
109,　　在浓烟当中，战士们需要经过深呼吸，蹲起，蹦跳等一系列剧烈的动作来检测防护服的密闭性，防止发生核沾染造成非战斗减员。
110,
111,　　火箭军某导弹旅参谋长 陈伟：
112,　　原理，规程，动作多达上百个甚至上千个。
113,　　为了最大限度地保持战力，训练过程中，每名战士都要掌握两到三种职业技能，以确保在减员超过三分之一的情况下，仍可实现精准打击。
114,　　“随时能战，准时发射，有效毁伤”，作为担负特殊使命的和平利剑，在一次次的锤炼中，中国战略导弹部队的家族壮大了、体型更小了、威力更强了、打击精度更准了、机动范围更广了。
115,"　　,中新社,亚丁湾1月2日电 (张腾飞 韩丰军)当地时间2日上午，中国海军第二十四批护航编队与第二十五批护航编队在亚丁湾西部海域进行了任务交接仪式。这标志着第二十五批护航编队将接替第二十四批护航编队担负亚丁湾、索马里海域护航任务。"
116,　　9时许，第二十四、二十五批护航编队指挥舰哈尔滨舰和衡阳舰缓缓靠泊东平湖舰左右舷。随后，人员换乘至哈尔滨舰会议室举行任务交接仪式。第二十四批护航编队指挥员柏耀平和第二十五批护航编队指挥员赵纪成分别在任务交接书上签字。
117,　　第二十四批护航编队将相关文件、器材等移交给第二十五批护航编队，并介绍了护航编队的组织实施、目前亚丁湾海盗活动规律特点、商船护送方式等情况。完成任务交接后，两批编队共同执行中国海军第1003批护航任务，护送商船由亚丁湾东部向红海方向航渡，任务结束后两批护航编队分航。
118,　　第二十四批护航编队自2016年8月10日从山东青岛出航以来，先后圆满完成35批45艘中外船舶护航任务，其中为世界粮食计划署船舶护航1批1艘，先后处置了8批15艘次疑似海盗目标的袭击，确保了被护船舶和编队自身“两个百分之百安全”。其间，该编队指挥员与欧盟465编队指挥员进行了会晤交流1次，舰长级非正式会面4次，为外籍船舶提供人道主义救助2次。(完)
119,　　【环球时报报道 记者 郭媛丹】1月7日，中国国防部新闻局证实中国一艘潜艇在护航返程途中停靠马来西亚进行休整和补给，这是中国潜艇首次访问马来西亚。相关专业人士对《环球时报》表示，这说明南海形势正在缓解。
120,　　马来西亚海军官方消息称，中国海军一艘039A型潜艇和“长兴岛”号远洋打捞救生船访问马来西亚。华尔街日报引述马来西亚一位海军官方介绍，中国海军的潜艇于周二抵达亚庇港，是中国潜艇首次访问马来西亚，主要是以休息和娱乐为目的。 马来西亚的海军官员说，该潜艇将停留到周六。预计该型潜艇将续程于近日返回中国。
121,　　中国国防部新闻局证实，该潜艇是在赴亚丁湾、索马里海域护航返程途中靠港进行补给和休整。这是中国军方第二次公开中国潜艇在远海活动轨迹。
122,　　2014年11月底，时任中国国防部新闻发言人耿雁生首次证实中国海军一艘潜艇曾赴亚丁湾、索马里海域护航，期间两次技术停靠斯里兰卡。他强调，“潜艇靠港进行补给和休整，这是各国海军的通行做法。”
123,　　这两次官方消息可以表明，尽管在截止目前中国海军25批护航编队组成中并没有潜艇。但某种程度上，中国潜艇出现在印度洋已是常态化。一位相关专业人士7日对《环球时报》表示， 这是中国海军多种力量执行非战争军事行动的能力探索，同时也检验了潜艇执行远海任务的能力以及在远海条件下对潜艇的保障能力。“作为一个负责任大国，中国海军为维护国际重要运输线的安全和国际海域的和平稳定做出贡献。作为维护世界海洋安全的重要力量中国海军出现在哪里都很正常。”
124,　　官方资料显示，从2008年至今，中国海军先后派出25批护航编队、78艘次舰艇，安全护送近6300艘中外船舶，解救、救护和救助了60余艘遇险中外船舶。
125,　　华尔街日报报道称，中国一艘攻击潜艇本星期首次停靠马来西亚码头，这是中国罕见的展示其水下实力的扩张，同时进一步显示东南亚的实力重组。
126,　　上述相关人士对《环球时报》表示，这种观点依旧是拿有色眼镜来看待中国，炒作中国威胁论。潜艇靠港进行补给和休整是各国海军的通行做法，那么多其它国家潜艇停靠没有引起关注，为什么偏偏要炒作中国潜艇停靠补给。随着中国国力增强，海军力量增强，中国海军会越来越多出现在世界各地，并会成为常态化。
127,　　马来西亚沙巴州的亚庇海军军事基地具有重要战略位置，以往经常接待美国、日本、菲律宾等国海军的停靠访问。该港口是美军核潜艇巡航西太平洋时的一个重要补给点。
128,　　该港口也被认为是美军核潜艇巡航西太平洋时的一个重要补给点。现在中国海军潜艇停靠该港口被认为是中马两国之间友好关系。 这位人士表示，“潜艇这样敏感的水下目标也能停靠、补给，这表明中国和东盟关系，尤其是马来西亚的关系大为改善。这同时也说明南海形势正在缓解。这种友好关系有利于地区稳定与和平，无须过度解读，也没必要挑拨离间。”
129,　　另一位潜艇方面的专家表示，“世界有潜艇的大国在印度洋都有潜艇存在，中国也不应该例外。中国海军保护海外利益，维护民用船只航行安全是负责任大国的必然选择。停靠沿岸国家的港口码头，也是为补给、修整、友好交流的需要，无可厚非。其他国家的预判、猜忌、议论等也属正常。言论是自由的，不会影响我维护海外利益和世界和平的人道主义义务。”
130,　　近几年来，中国和马来西亚两军友好关系全面发展。2015年中马两军首次举行 “和平友谊-2015”实兵演练，而在“和平友谊-2016”的联合军演中，中央军委委员、军委联合参谋部参谋长房峰辉出席演习开幕仪式。2016年10月份的第7届香山论坛马来西亚武装部队司令祖基费利上将欢迎晚宴上发表嘉宾演讲。中马两国海军近两年交流频繁，2015年中国首次派出三艘军舰参加了马来西亚“和平友谊-2015”联合演习，中国海军司令吴胜利也在2015年11月成功访问马来西亚。
131,
132,探秘最灵活的“胖妞”——运20
133,
134,　　央视记者 闫星光：
135,　　我现在就是在大型运输机运20的机腹下面，看到它的第一眼感觉是震撼，在我们常见的标准足球场内，只能停放两架这样的运20，我想如此庞大的体型也是很多人把它称为“胖妞”的一个主要原因。
136,　　运20虽然体型庞大，但做起战术动作来，它可一点都不笨重。空军首位运20机长、有着31年多型飞机飞行经验的杜宝林告诉记者，“胖妞”可以在极低的高度和速度下，贴地飞行后，再次变速高速飞行，完成各种复杂的战术动作，真正达到人机合一。
137,
138,　　空军航空兵某师副师长 杜宝林：
139,　　别看它这个飞机这么大，它要快能快得起来，要慢也慢得下来，要高高得上去， 要低低得下来。
140,　　作为200吨级的大型运输机，运20的最大航程能达到7800公里，一口气可以从我国最北端的漠河飞到最南端的曾母暗沙，它的载重量有66吨，能运送我军大部分主战装备。
141,　　2017年，首批列装运20的空军航空兵某师将在实战化背景下，继续对运20进行战略飞行训练，使这款被称为国之重器的战略运输机能随时出现在祖国需要它的地方。
142,　　原标题：2016，一名军事记者亲历的“实战化”
143,　　让形式主义在演习场上销声匿迹
144,　　“实战化”是2016年解放军和武警部队军事训练的一个关键词。从严冬到酷暑，从高原到海岛，从大漠到大洋，一场场紧贴实战的演习演练、比武竞赛从年初打到岁尾，不同的演训场上“征尘”四起、“战味儿”十足。
145,　　“实战化”主题也始终贯穿在中国青年报·中青在线记者的采访历程之中。2016年，记者曾先后采访“中部铁拳·勇士”“中部铁拳－坦克·铁骑”“剑鹰－2016”军事技能竞赛、武警部队首届“锋刃”国际狙击手射击竞赛、“海上联合－2016”中俄军演等演习和竞赛，近距离地捕捉实战化训练的细节。
146,　　如同“互联网＋”理念改变了亿万普通人的生活，实战化训练理念也深刻地改变着中国军队的面貌。它就像一根无形的指挥棒，在滚滚前行的钢铁洪流中奏出一曲曲充满硝烟味的战歌。
147,"　　,挤干演训场上的水分"
148,　　2016年5月中旬，记者赶赴南昌陆军学院采访中部战区陆军举办的“中部铁拳·勇士”竞赛。“中部战区陆军组织竞赛，为什么要舍近求远，到距离驻地2000多公里的南昌‘客场作战’？”接到采访任务时，一个疑问不禁涌上心头。
149,　　同样是中部战区陆军，一个多月后又千里机动，5个集团军10支装甲精锐集结到贺兰山脚下的青铜峡训练基地，进行“中部铁拳－坦克·铁骑”竞赛。
150,　　在后来的采访中，中部战区陆军副参谋长唐宁透露，这样做的目的既是为了利用院校、训练基地的场地、设备、人才优势，同时也是为了在陌生的环境检验参赛官兵的真实水平。
151,　　从这一非同寻常的举措中，记者感受到了实战化训练考评的“实”。
152,　　一名军事记者曾经感慨，实战化让他印象最深刻的，不是一幕幕狂飙突起的演习画面，而是一座座人去楼空的军营、空空如也的军港。中国军人跨越千山万水，为的不就是战斗力水平的提升？
153,　　记者注意到，无论是在演习还是比武中，演训场上很难再看到显眼的彩旗、横幅。一名多次参加演习的中校解释说，以往曾经存在的“练为看”现象早已没了市场，形式主义成为“人人喊打的老鼠”，在军事训练上几乎销声匿迹。
